crude_id,name,api,sulfur_wt,cut_light_pct,cut_middle_pct,cut_heavy_pct
ARB,Arab Light,33.0,1.8,0.35,0.45,0.20
WAF,West African Blend,36.5,0.25,0.40,0.45,0.15
MARS,Mars,29.0,2.0,0.25,0.45,0.30
WTI,West Texas Intermediate,39.6,0.24,0.45,0.40,0.15
BRENT,Brent,38.3,0.37,0.42,0.43,0.15
DUBAI,Dubai,31.0,2.1,0.32,0.46,0.22
MAYA,Maya Heavy,22.0,3.4,0.20,0.35,0.45
URALS,Urals,31.7,1.3,0.33,0.47,0.20
SAHARA,Sahara Blend,44.1,0.10,0.50,0.38,0.12
KIRKUK,Kirkuk,35.1,2.4,0.38,0.44,0.18
IRANIAN_LIGHT,Iranian Light,33.9,1.5,0.37,0.45,0.18
IRANIAN_HEAVY,Iranian Heavy,30.2,1.8,0.30,0.46,0.24
KUWAIT,Kuwait Export,31.4,2.5,0.34,0.46,0.20
ALASKA_NS,Alaska North Slope,27.8,1.1,0.28,0.47,0.25
CANADIAN_HEAVY,Canadian Heavy,20.5,3.8,0.18,0.32,0.50
VENEZUELAN_HEAVY,Venezuelan Heavy,16.0,2.8,0.15,0.28,0.57
NIGERIAN_LIGHT,Nigerian Bonny Light,37.4,0.14,0.43,0.42,0.15
ANGOLAN_CABINDA,Angolan Cabinda,31.7,0.17,0.36,0.46,0.18
LIBYAN_SWEET,Libyan Sweet,43.0,0.38,0.48,0.39,0.13
EGYPTIAN_BLEND,Egyptian Blend,32.8,1.4,0.35,0.45,0.20
NORTH_SEA_EKOFISK,North Sea Ekofisk,43.2,0.15,0.49,0.37,0.14
AZERI_LIGHT,Azeri Light,35.0,0.13,0.40,0.44,0.16
KAZAKHSTAN_CPC,Kazakhstan CPC,46.1,0.55,0.52,0.35,0.13
RUSSIAN_EXPORT,Russian Export Blend,32.2,1.2,0.34,0.47,0.19
BASRA_LIGHT,Basra Light,30.5,2.9,0.31,0.45,0.24
BASRA_HEAVY,Basra Heavy,24.7,4.1,0.23,0.38,0.39
OMAN,Oman,34.2,0.9,0.36,0.45,0.19
QATAR_MARINE,Qatar Marine,36.0,1.4,0.39,0.43,0.18
ABU_DHABI,Abu Dhabi Murban,40.5,0.78,0.44,0.41,0.15
BRAZILIAN_MARLIM,Brazilian Marlim,19.8,0.65,0.20,0.35,0.45
BRAZILIAN_LULA,Brazilian Lula,28.6,0.48,0.32,0.44,0.24
COLOMBIA_CANO_LIMON,Colombian Cano Limon,29.5,0.54,0.33,0.45,0.22
ECUADOR_ORIENTE,Ecuador Oriente,23.6,1.4,0.24,0.41,0.35
MEXICO_ISTHMUS,Mexican Isthmus,33.6,1.3,0.36,0.45,0.19
MEXICO_MAYA,Mexican Maya,22.0,3.3,0.21,0.36,0.43
INDONESIA_MINAS,Indonesian Minas,34.5,0.08,0.38,0.44,0.18
MALAYSIA_TAPIS,Malaysian Tapis,46.0,0.04,0.53,0.34,0.13
THAILAND_PLATONG,Thai Platong,38.7,0.26,0.43,0.41,0.16
VIETNAM_BACH_HO,Vietnamese Bach Ho,38.9,0.04,0.44,0.41,0.15
AUSTRALIA_GIPPSLAND,Australian Gippsland,42.8,0.12,0.47,0.38,0.15
BRUNEI_CHAMPION,Brunei Champion,23.9,0.06,0.28,0.43,0.29
INDIAN_MUMBAI,Indian Mumbai High,39.5,0.15,0.44,0.41,0.15
CHINESE_DAQING,Chinese Daqing,32.8,0.10,0.36,0.45,0.19
TURKISH_BATMAN,Turkish Batman,42.5,0.48,0.46,0.39,0.15
ALGERIAN_SAHARAN,Algerian Saharan Blend,44.8,0.09,0.51,0.37,0.12
GABONESE_RABI,Gabonese Rabi Light,33.6,0.07,0.37,0.45,0.18
CONGOLESE_DJENO,Congolese Djeno,28.3,0.26,0.31,0.45,0.24
CAMEROON_KOLE,Cameroon Kole Marine,32.1,0.35,0.35,0.46,0.19
EQUATORIAL_GUINEA_ZAFIRO,EG Zafiro,42.3,0.08,0.47,0.38,0.15
CHAD_DOBA,Chad Doba,32.4,0.13,0.35,0.46,0.19
SUDAN_NILE,Sudanese Nile Blend,31.8,0.04,0.35,0.46,0.19
YEMEN_MASILA,Yemeni Masila,38.2,0.28,0.42,0.42,0.16
