origin,destination,rate_usd_bbl
ME,GulfCoast,2.15
ME,EastCoast,2.45
ME,WestCoast,3.25
ME,Europe,1.85
ME,Asia,1.25
WAF,GulfCoast,1.65
WAF,EastCoast,1.35
WAF,WestCoast,3.85
WAF,Europe,0.95
WAF,Asia,2.45
USG,GulfCoast,0.25
USG,EastCoast,0.35
USG,WestCoast,1.15
USG,Europe,1.85
USG,Asia,3.25
USWC,GulfCoast,1.25
USWC,EastCoast,1.45
USWC,WestCoast,0.15
USWC,Europe,2.15
USWC,Asia,2.85
NSea,GulfCoast,2.25
NSea,EastCoast,1.95
NSea,WestCoast,4.15
NSea,Europe,0.45
NSea,Asia,3.85
Russia,GulfCoast,2.75
Russia,EastCoast,2.45
Russia,WestCoast,4.65
Russia,Europe,1.15
Russia,Asia,2.25
LatAm,GulfCoast,1.15
LatAm,EastCoast,1.45
LatAm,WestCoast,2.25
LatAm,Europe,2.15
LatAm,Asia,4.25
SEAsia,GulfCoast,3.45
SEAsia,EastCoast,3.75
SEAsia,WestCoast,2.15
SEAsia,Europe,3.25
SEAsia,Asia,0.85
Canada,GulfCoast,0.85
Canada,EastCoast,0.55
Canada,WestCoast,0.95
Canada,Europe,1.95
Canada,Asia,2.95
