crude_id,cost_usd_bbl,available_bbl
ARB,84.50,125000
WAF,86.75,85000
MARS,81.25,45000
WTI,89.25,95000
BRENT,87.80,110000
DUBAI,83.75,135000
MAYA,71.50,180000
URALS,82.90,95000
SAHARA,92.80,65000
KIRKUK,85.20,75000
IRANIAN_LIGHT,83.90,88000
IRANIAN_HEAVY,80.15,95000
KUWAIT,82.40,120000
ALASKA_NS,79.60,55000
CANADIAN_HEAVY,68.25,220000
VENEZUELAN_HEAVY,62.80,150000
NIGERIAN_LIGHT,88.50,95000
ANGOLAN_CABINDA,86.30,75000
LIBYAN_SWEET,91.25,45000
EGYPTIAN_BLEND,84.80,65000
NORTH_SEA_EKOFISK,90.40,85000
AZERI_LIGHT,87.25,105000
KAZAKHSTAN_CPC,93.50,75000
RUSSIAN_EXPORT,83.60,145000
BASRA_LIGHT,82.80,115000
BASRA_HEAVY,75.40,125000
OMAN,85.60,95000
QATAR_MARINE,86.90,85000
ABU_DHABI,89.75,95000
BRAZILIAN_MARLIM,72.50,85000
BRAZILIAN_LULA,80.40,125000
COLOMBIA_CANO_LIMON,81.25,75000
ECUADOR_ORIENTE,76.80,55000
MEXICO_ISTHMUS,84.90,95000
MEXICO_MAYA,73.25,165000
INDONESIA_MINAS,86.50,65000
MALAYSIA_TAPIS,94.25,45000
THAILAND_PLATONG,88.90,35000
VIETNAM_BACH_HO,89.15,42000
AUSTRALIA_GIPPSLAND,90.60,55000
BRUNEI_CHAMPION,78.90,25000
INDIAN_MUMBAI,89.80,48000
CHINESE_DAQING,85.40,75000
TURKISH_BATMAN,90.85,35000
ALGERIAN_SAHARAN,93.15,55000
GABONESE_RABI,87.45,45000
CONGOLESE_DJENO,81.60,38000
CAMEROON_KOLE,84.70,32000
EQUATORIAL_GUINEA_ZAFIRO,90.25,28000
CHAD_DOBA,85.30,35000
SUDAN_NILE,86.80,42000
YEMEN_MASILA,87.70,25000
