grade,month,inventory,min_required,max_allowed
light,0,20000.0,200.0,40000.0
light,1,13800.0,200.0,40000.0
light,2,11470.0,200.0,40000.0
light,3,5270.0,200.0,40000.0
light,4,820.0,200.0,40000.0
light,5,200.0,200.0,40000.0
light,6,200.0,200.0,40000.0
medium,0,20000.0,175.0,35000.0
medium,1,14575.0,175.0,35000.0
medium,2,10850.0,175.0,35000.0
medium,3,5425.0,175.0,35000.0
medium,4,175.0,175.0,35000.0
medium,5,175.0,175.0,35000.0
medium,6,175.0,175.0,35000.0
heavy,0,20000.0,125.0,25000.0
heavy,1,19612.5,125.0,25000.0
heavy,2,19262.5,125.0,25000.0
heavy,3,18875.0,125.0,25000.0
heavy,4,18500.0,125.0,25000.0
heavy,5,18112.5,125.0,25000.0
heavy,6,14362.5,125.0,25000.0
