sample_id,crude_id,report_date,lab_location,api_gravity,sulfur_wt,pour_point_degc,flash_point_degc,viscosity_cst_40c,density_15c,h2s_ppm,mercaptan_sulfur_ppm,total_acid_number,asphaltenes_wt,wax_content_wt,salt_content_ptb,water_content_vol,sediment_content_vol,distillation_ibp_degc,distillation_10pct_degc,distillation_30pct_degc,distillation_50pct_degc,distillation_70pct_degc,distillation_90pct_degc,distillation_ep_degc,status
IT_2024_001,WTI,2024-01-10,Houston_Lab,39.8,0.23,-39,-18,2.1,0.8268,8.2,12.5,0.12,0.8,2.1,5.2,0.05,0.02,31,98,182,268,358,465,521,Final
IT_2024_002,BRENT,2024-01-10,Aberdeen_Lab,38.4,0.36,-32,-15,2.8,0.8312,15.8,18.3,0.18,1.2,1.8,8.7,0.03,0.01,28,102,188,275,368,478,535,Final
IT_2024_003,MAYA,2024-01-11,Veracruz_Lab,21.9,3.42,12,45,45.2,0.9205,1850,142.8,2.85,12.4,8.9,125.3,0.15,0.08,52,145,225,315,425,512,578,Final
IT_2024_004,ARB,2024-01-11,Ras_Tanura_Lab,33.1,1.79,-15,28,8.4,0.8582,125.4,38.5,0.42,3.2,4.5,38.2,0.08,0.04,38,118,195,285,378,485,542,Final
IT_2024_005,URALS,2024-01-12,Primorsk_Lab,31.8,1.28,-22,18,6.2,0.8655,85.6,28.9,0.35,2.8,3.9,25.8,0.06,0.03,35,112,188,275,365,472,528,Final
IT_2024_006,SAHARA,2024-01-12,Skikda_Lab,44.2,0.09,-45,-25,1.6,0.8042,2.1,3.8,0.08,0.4,0.8,2.1,0.02,0.01,28,88,165,245,325,428,485,Final
IT_2024_007,CANADIAN_HEAVY,2024-01-13,Edmonton_Lab,20.3,3.85,18,52,125.4,0.9312,2250,185.4,3.25,18.5,12.4,185.2,0.28,0.12,58,165,245,335,445,528,595,Final
IT_2024_008,NIGERIAN_LIGHT,2024-01-13,Lagos_Lab,37.6,0.13,-38,-22,2.3,0.8285,4.8,8.2,0.09,0.6,1.2,3.5,0.03,0.01,29,95,178,262,352,462,518,Final
IT_2024_009,AZERI_LIGHT,2024-01-14,Baku_Lab,35.2,0.12,-42,-28,2.2,0.8465,3.2,6.5,0.07,0.5,1.1,2.8,0.02,0.01,26,92,175,258,348,458,512,Final
IT_2024_010,BASRA_HEAVY,2024-01-14,Basra_Lab,24.5,4.12,22,58,68.5,0.9085,1650,158.2,2.95,15.8,9.8,165.8,0.22,0.09,55,155,235,325,435,518,585,Final
IT_2024_011,MALAYSIA_TAPIS,2024-01-15,Kuala_Lumpur_Lab,46.2,0.03,-48,-32,1.4,0.7985,1.2,2.1,0.05,0.3,0.5,1.5,0.01,0.005,25,82,158,235,315,418,475,Final
IT_2024_012,RUSSIAN_EXPORT,2024-01-15,Primorsk_Lab,32.3,1.25,-28,15,7.8,0.8625,92.5,32.8,0.38,3.1,4.2,28.5,0.07,0.03,36,115,192,282,372,482,538,Final
