month,product,price_usd_bbl,seasonal_factor
Jan,LIGHTS,89.25,0.975
Jan,MIDDLES,84.50,0.980
Jan,HEAVIES,76.80,0.975
Feb,LIGHTS,90.15,0.985
Feb,MIDDLES,85.20,0.988
Feb,HEAVIES,77.45,0.985
Mar,LIGHTS,91.50,1.000
Mar,MIDDLES,86.25,1.000
Mar,HEAVIES,78.75,1.000
Apr,LIGHTS,92.80,1.014
Apr,MIDDLES,87.45,1.014
Apr,HEAVIES,79.85,1.013
May,LIGHTS,94.25,1.030
May,MIDDLES,88.90,1.031
May,HEAVIES,81.20,1.032
Jun,LIGHTS,95.50,1.044
Jun,MIDDLES,90.15,1.045
Jun,HEAVIES,82.35,1.045
Jul,LIGHTS,96.80,1.058
Jul,MIDDLES,91.55,1.061
Jul,HEAVIES,83.65,1.062
Aug,LIGHTS,95.25,1.041
Aug,MIDDLES,90.30,1.047
Aug,HEAVIES,82.80,1.051
Sep,LIGHTS,93.75,1.024
Sep,MIDDLES,88.65,1.028
Sep,HEAVIES,81.45,1.035
Oct,LIGHTS,92.40,1.010
Oct,MIDDLES,87.25,1.012
Oct,HEAVIES,80.25,1.019
Nov,LIGHTS,90.85,0.993
Nov,MIDDLES,85.80,0.994
Nov,HEAVIES,78.95,1.002
Dec,LIGHTS,89.60,0.979
Dec,MIDDLES,84.70,0.982
Dec,HEAVIES,77.65,0.985
